Country,Item,Year,Value,BinValue
Afghanistan,insecurity,2016,15.1,10 - 20
Afghanistan,insecurity,2017,17.3,10 - 20
Afghanistan,insecurity,2018,17.3,10 - 20
Afghanistan,insecurity,2019,19.8,10 - 20
Albania,insecurity,2016,10.5,10 - 20
Albania,insecurity,2017,11,10 - 20
Albania,insecurity,2018,10,10 - 20
Albania,insecurity,2019,8.8,0.5 - 10
Algeria,insecurity,2016,12.7,10 - 20
Algeria,insecurity,2017,11.4,10 - 20
Algeria,insecurity,2018,9.3,0.5 - 10
Algeria,insecurity,2019,6.9,0.5 - 10
Angola,insecurity,2018,24,20 - 30
Angola,insecurity,2019,26.9,20 - 30
Argentina,insecurity,2016,8.6,0.5 - 10
Argentina,insecurity,2017,11.2,10 - 20
Argentina,insecurity,2018,12.9,10 - 20
Argentina,insecurity,2019,12.6,10 - 20
Armenia,insecurity,2017,1.2,0.5 - 10
Armenia,insecurity,2018,1.1,0.5 - 10
Armenia,insecurity,2019,1.1,0.5 - 10
Australia,insecurity,2016,3.4,0.5 - 10
Australia,insecurity,2017,3.6,0.5 - 10
Australia,insecurity,2018,3.8,0.5 - 10
Australia,insecurity,2019,3.3,0.5 - 10
Austria,insecurity,2016,1.2,0.5 - 10
Austria,insecurity,2017,1.1,0.5 - 10
Austria,insecurity,2018,1.1,0.5 - 10
Austria,insecurity,2019,0.9,0.5 - 10
Azerbaijan,insecurity,2016,<0.5,<0.5
Azerbaijan,insecurity,2017,<0.5,<0.5
Azerbaijan,insecurity,2018,<0.5,<0.5
Azerbaijan,insecurity,2019,<0.5,<0.5
Bangladesh,insecurity,2016,12.4,10 - 20
Bangladesh,insecurity,2017,11.6,10 - 20
Bangladesh,insecurity,2018,10.6,10 - 20
Bangladesh,insecurity,2019,10.5,10 - 20
Belgium,insecurity,2019,1.1,0.5 - 10
Bosnia and Herzegovina,insecurity,2016,1.8,0.5 - 10
Bosnia and Herzegovina,insecurity,2017,1.3,0.5 - 10
Bosnia and Herzegovina,insecurity,2018,1.5,0.5 - 10
Bosnia and Herzegovina,insecurity,2019,2,0.5 - 10
Botswana,insecurity,2016,20.2,20 - 30
Botswana,insecurity,2017,20.9,20 - 30
Botswana,insecurity,2018,21.5,20 - 30
Botswana,insecurity,2019,22.2,20 - 30
Brazil,insecurity,2016,1.8,0.5 - 10
Brazil,insecurity,2017,1.7,0.5 - 10
Brazil,insecurity,2018,1.6,0.5 - 10
Brazil,insecurity,2019,3.5,0.5 - 10
Bulgaria,insecurity,2016,2.4,0.5 - 10
Bulgaria,insecurity,2017,2.1,0.5 - 10
Bulgaria,insecurity,2018,1.9,0.5 - 10
Bulgaria,insecurity,2019,2.4,0.5 - 10
Burkina Faso,insecurity,2016,10.9,10 - 20
Burkina Faso,insecurity,2017,11.7,10 - 20
Burkina Faso,insecurity,2018,12.6,10 - 20
Burkina Faso,insecurity,2019,15.4,10 - 20
Cabo Verde,insecurity,2018,8.6,0.5 - 10
Cabo Verde,insecurity,2019,7.6,0.5 - 10
Cambodia,insecurity,2016,14.3,10 - 20
Cambodia,insecurity,2017,14,10 - 20
Cambodia,insecurity,2018,13.6,10 - 20
Cambodia,insecurity,2019,13.4,10 - 20
Cameroon,insecurity,2019,26.7,20 - 30
Canada,insecurity,2016,0.6,0.5 - 10
Canada,insecurity,2017,0.6,0.5 - 10
Canada,insecurity,2018,0.7,0.5 - 10
Canada,insecurity,2019,0.9,0.5 - 10
Central African Republic,insecurity,2019,61.8,50 - 65.4
Chile,insecurity,2016,3.1,0.5 - 10
Chile,insecurity,2017,3.4,0.5 - 10
Chile,insecurity,2018,3.6,0.5 - 10
Chile,insecurity,2019,4.3,0.5 - 10
Congo,insecurity,2016,46.1,40 - 50
Congo,insecurity,2017,49.7,40 - 50
Congo,insecurity,2018,51.1,50 - 65.4
Congo,insecurity,2019,51.7,50 - 65.4
Costa Rica,insecurity,2016,1.9,0.5 - 10
Costa Rica,insecurity,2017,2.2,0.5 - 10
Costa Rica,insecurity,2018,2.4,0.5 - 10
Costa Rica,insecurity,2019,2.6,0.5 - 10
Croatia,insecurity,2016,0.6,0.5 - 10
Croatia,insecurity,2017,0.8,0.5 - 10
Croatia,insecurity,2018,0.9,0.5 - 10
Croatia,insecurity,2019,1.3,0.5 - 10
Czechia,insecurity,2016,0.5,0.5 - 10
Czechia,insecurity,2017,<0.5,<0.5
Czechia,insecurity,2018,<0.5,<0.5
Czechia,insecurity,2019,0.8,0.5 - 10
Democratic Republic of the Congo,insecurity,2019,38.5,30 - 40
Denmark,insecurity,2016,1.1,0.5 - 10
Denmark,insecurity,2017,1.1,0.5 - 10
Denmark,insecurity,2018,1.1,0.5 - 10
Denmark,insecurity,2019,1.1,0.5 - 10
Ecuador,insecurity,2016,7.1,0.5 - 10
Ecuador,insecurity,2017,8.4,0.5 - 10
Ecuador,insecurity,2018,9.9,0.5 - 10
Ecuador,insecurity,2019,11.6,10 - 20
Egypt,insecurity,2016,8.7,0.5 - 10
Egypt,insecurity,2017,8.6,0.5 - 10
Egypt,insecurity,2018,7.4,0.5 - 10
Egypt,insecurity,2019,6.7,0.5 - 10
