Country,Item,Year,Value,BinValue
Afghanistan,undernourishment,2016,22.2,15 - 25
Afghanistan,undernourishment,2017,23,15 - 25
Afghanistan,undernourishment,2018,23.4,15 - 25
Afghanistan,undernourishment,2019,25.6,25 - 35
Afghanistan,insecurity,2016,15.1,10 - 20
Afghanistan,insecurity,2017,17.3,10 - 20
Afghanistan,insecurity,2018,17.3,10 - 20
Afghanistan,insecurity,2019,19.8,10 - 20
Albania,undernourishment,2016,4.3,2.5 - 5
Albania,undernourishment,2017,4.1,2.5 - 5
Albania,undernourishment,2018,4,2.5 - 5
Albania,undernourishment,2019,3.9,2.5 - 5
Albania,insecurity,2016,10.5,10 - 20
Albania,insecurity,2017,11,10 - 20
Albania,insecurity,2018,10,10 - 20
Albania,insecurity,2019,8.8,0.5 - 10
Algeria,undernourishment,2016,2.8,2.5 - 5
Algeria,undernourishment,2017,2.7,2.5 - 5
Algeria,undernourishment,2018,<2.5,<2.5
Algeria,undernourishment,2019,<2.5,<2.5
Algeria,insecurity,2016,12.7,10 - 20
Algeria,insecurity,2017,11.4,10 - 20
Algeria,insecurity,2018,9.3,0.5 - 10
Algeria,insecurity,2019,6.9,0.5 - 10
Angola,undernourishment,2016,15.4,15 - 25
Angola,undernourishment,2017,15.4,15 - 25
Angola,undernourishment,2018,15.5,15 - 25
Angola,undernourishment,2019,17.3,15 - 25
Angola,insecurity,2018,24,20 - 30
Angola,insecurity,2019,26.9,20 - 30
Argentina,undernourishment,2016,2.6,2.5 - 5
Argentina,undernourishment,2017,3.1,2.5 - 5
Argentina,undernourishment,2018,3.5,2.5 - 5
Argentina,undernourishment,2019,3.9,2.5 - 5
Argentina,insecurity,2016,8.6,0.5 - 10
Argentina,insecurity,2017,11.2,10 - 20
Argentina,insecurity,2018,12.9,10 - 20
Argentina,insecurity,2019,12.6,10 - 20
Armenia,undernourishment,2016,2.8,2.5 - 5
Armenia,undernourishment,2017,3.1,2.5 - 5
Armenia,undernourishment,2018,3.2,2.5 - 5
Armenia,undernourishment,2019,3.4,2.5 - 5
Armenia,insecurity,2017,1.2,0.5 - 10
Armenia,insecurity,2018,1.1,0.5 - 10
Armenia,insecurity,2019,1.1,0.5 - 10
Australia,undernourishment,2016,<2.5,<2.5
