Area,Continent,Item,Year,Value
Afghanistan,Asia,wasting,2018,5.1
Afghanistan,Asia,overweight,2016,4.6
Afghanistan,Asia,overweight,2017,4.4
Afghanistan,Asia,overweight,2018,4.3
Afghanistan,Asia,overweight,2019,4.1
Afghanistan,Asia,overweight,2020,3.9
Albania,Europe,wasting,2017,1.6
Albania,Europe,overweight,2016,17.3
Albania,Europe,overweight,2017,16.4
Albania,Europe,overweight,2018,15.7
Albania,Europe,overweight,2019,15.1
Albania,Europe,overweight,2020,14.6
Algeria,Africa,wasting,2019,2.7
Algeria,Africa,overweight,2016,13.1
Algeria,Africa,overweight,2017,13.1
Algeria,Africa,overweight,2018,13
Algeria,Africa,overweight,2019,12.9
Algeria,Africa,overweight,2020,12.9
Angola,Africa,overweight,2016,3.1
Angola,Africa,overweight,2017,3.1
Angola,Africa,overweight,2018,3.2
Angola,Africa,overweight,2019,3.4
Angola,Africa,overweight,2020,3.5
Argentina,South America,wasting,2019,1.6
Argentina,South America,overweight,2016,12.6
Argentina,South America,overweight,2017,12.7
Argentina,South America,overweight,2018,12.8
Argentina,South America,overweight,2019,12.9
Argentina,South America,overweight,2020,12.9
Armenia,Asia,wasting,2016,4.4
Armenia,Asia,overweight,2016,12.1
Armenia,Asia,overweight,2017,11.6
Armenia,Asia,overweight,2018,11.3
Armenia,Asia,overweight,2019,11
Armenia,Asia,overweight,2020,10.8
Australia,Oceania,overweight,2016,16.7
Australia,Oceania,overweight,2017,17.3
Australia,Oceania,overweight,2018,17.7
Australia,Oceania,overweight,2019,18.2
Australia,Oceania,overweight,2020,18.5
Azerbaijan,Asia,overweight,2016,9.9
Azerbaijan,Asia,overweight,2017,9.7
Azerbaijan,Asia,overweight,2018,9.6
Azerbaijan,Asia,overweight,2019,9.5
Azerbaijan,Asia,overweight,2020,9.4
Bahrain,Asia,overweight,2016,6
Bahrain,Asia,overweight,2017,6.1
Bahrain,Asia,overweight,2018,6.2
Bahrain,Asia,overweight,2019,6.3
Bahrain,Asia,overweight,2020,6.4
Bangladesh,Asia,wasting,2018,8.4
Bangladesh,Asia,wasting,2019,9.8
Bangladesh,Asia,overweight,2016,2
Bangladesh,Asia,overweight,2017,2
Bangladesh,Asia,overweight,2018,2.1
Bangladesh,Asia,overweight,2019,2.1
Bangladesh,Asia,overweight,2020,2.1
Barbados,North America,overweight,2016,11.3
Barbados,North America,overweight,2017,11.4
Barbados,North America,overweight,2018,11.4
Barbados,North America,overweight,2019,11.4
Barbados,North America,overweight,2020,11.4
Belarus,Europe,overweight,2016,7.5
Belarus,Europe,overweight,2017,7.2
Belarus,Europe,overweight,2018,7
Belarus,Europe,overweight,2019,6.9
Belarus,Europe,overweight,2020,6.8
Belgium,Europe,overweight,2016,4.8
Belgium,Europe,overweight,2017,4.9
Belgium,Europe,overweight,2018,4.9
Belgium,Europe,overweight,2019,5
Belgium,Europe,overweight,2020,5.1
Belize,North America,overweight,2016,8.5
Belize,North America,overweight,2017,8.4
Belize,North America,overweight,2018,8.2
Belize,North America,overweight,2019,8.1
Belize,North America,overweight,2020,8
Benin,Africa,wasting,2018,5
Benin,Africa,overweight,2016,1.8
Benin,Africa,overweight,2017,1.8
Benin,Africa,overweight,2018,2
Benin,Africa,overweight,2019,2.1
Benin,Africa,overweight,2020,2.2
Bhutan,Asia,overweight,2016,5.8
Bhutan,Asia,overweight,2017,5.7
Bhutan,Asia,overweight,2018,5.5
Bhutan,Asia,overweight,2019,5.4
Bhutan,Asia,overweight,2020,5.2
Bolivia (Plurinational State of),South America,wasting,2016,2
Bolivia (Plurinational State of),South America,overweight,2016,8.9
Bolivia (Plurinational State of),South America,overweight,2017,8.9
Bolivia (Plurinational State of),South America,overweight,2018,8.9
Bolivia (Plurinational State of),South America,overweight,2019,8.9
Bolivia (Plurinational State of),South America,overweight,2020,8.8
Bosnia and Herzegovina,Europe,overweight,2016,14.9
Bosnia and Herzegovina,Europe,overweight,2017,14.2
Bosnia and Herzegovina,Europe,overweight,2018,13.6
Bosnia and Herzegovina,Europe,overweight,2019,13.2
Bosnia and Herzegovina,Europe,overweight,2020,12.8
Botswana,Africa,overweight,2016,10.8
Botswana,Africa,overweight,2017,10.9
Botswana,Africa,overweight,2018,10.9
Botswana,Africa,overweight,2019,10.9
Botswana,Africa,overweight,2020,11
Brazil,South America,overweight,2016,7.1
Brazil,South America,overweight,2017,7.1
Brazil,South America,overweight,2018,7.2
Brazil,South America,overweight,2019,7.2
Brazil,South America,overweight,2020,7.3
Brunei Darussalam,Asia,overweight,2016,9
Brunei Darussalam,Asia,overweight,2017,9.1
Brunei Darussalam,Asia,overweight,2018,9.1
Brunei Darussalam,Asia,overweight,2019,9.2
Brunei Darussalam,Asia,overweight,2020,9.3
Bulgaria,Europe,overweight,2016,6.3
Bulgaria,Europe,overweight,2017,6
Bulgaria,Europe,overweight,2018,5.9
Bulgaria,Europe,overweight,2019,5.7
Bulgaria,Europe,overweight,2020,5.7
Burkina Faso,Africa,wasting,2016,7.5
Burkina Faso,Africa,wasting,2017,8.6
Burkina Faso,Africa,wasting,2018,8.4
