Area,Continent,Year,StuntingValue
Afghanistan,Asia,2016,39.9
Afghanistan,Asia,2017,38.6
Afghanistan,Asia,2018,37.4
Afghanistan,Asia,2019,36.3
Afghanistan,Asia,2020,35.1
Albania,Europe,2016,13.3
Albania,Europe,2017,12.4
Albania,Europe,2018,11.4
Albania,Europe,2019,10.4
Albania,Europe,2020,9.6
Algeria,Africa,2016,10.7
Algeria,Africa,2017,10.2
Algeria,Africa,2018,9.9
Algeria,Africa,2019,9.5
Algeria,Africa,2020,9.3
Angola,Africa,2016,35.2
Angola,Africa,2017,36.1
Angola,Africa,2018,36.8
Angola,Africa,2019,37.4
Angola,Africa,2020,37.7
Argentina,South America,2016,7.8
Argentina,South America,2017,7.7
Argentina,South America,2018,7.7
Argentina,South America,2019,7.7
Argentina,South America,2020,7.8
Armenia,Asia,2016,11.2
Armenia,Asia,2017,10.6
Armenia,Asia,2018,10
Armenia,Asia,2019,9.5
Armenia,Asia,2020,9.1
Australia,Oceania,2016,2.1
Australia,Oceania,2017,2.1
Australia,Oceania,2018,2.1
Australia,Oceania,2019,2.1
Australia,Oceania,2020,2.1
Azerbaijan,Asia,2016,16.4
Azerbaijan,Asia,2017,16.4
Azerbaijan,Asia,2018,16.3
Azerbaijan,Asia,2019,16.3
Azerbaijan,Asia,2020,16.3
Bahrain,Asia,2016,5.6
Bahrain,Asia,2017,5.5
Bahrain,Asia,2018,5.3
Bahrain,Asia,2019,5.2
Bahrain,Asia,2020,5.1
Bangladesh,Asia,2016,34
Bangladesh,Asia,2017,33
Bangladesh,Asia,2018,32
Bangladesh,Asia,2019,31
Bangladesh,Asia,2020,30.2
Barbados,North America,2016,7.1
Barbados,North America,2017,6.9
Barbados,North America,2018,6.8
Barbados,North America,2019,6.6
Barbados,North America,2020,6.6
Belarus,Europe,2016,3.9
Belarus,Europe,2017,3.9
Belarus,Europe,2018,3.9
Belarus,Europe,2019,3.9
Belarus,Europe,2020,3.9
Belgium,Europe,2016,2.5
Belgium,Europe,2017,2.4
Belgium,Europe,2018,2.4
Belgium,Europe,2019,2.4
Belgium,Europe,2020,2.3
Belize,North America,2016,15.1
Belize,North America,2017,14.6
Belize,North America,2018,14.1
Belize,North America,2019,13.7
Belize,North America,2020,13.3
Benin,Africa,2016,32.9
Benin,Africa,2017,32.7
Benin,Africa,2018,32.4
Benin,Africa,2019,31.9
Benin,Africa,2020,31.3
Bhutan,Asia,2016,25.4
Bhutan,Asia,2017,24.5
Bhutan,Asia,2018,23.7
Bhutan,Asia,2019,23
Bhutan,Asia,2020,22.4
Bolivia (Plurinational State of),South America,2016,16.1
Bolivia (Plurinational State of),South America,2017,15.1
Bolivia (Plurinational State of),South America,2018,14.2
Bolivia (Plurinational State of),South America,2019,13.4
Bolivia (Plurinational State of),South America,2020,12.7
Bosnia and Herzegovina,Europe,2016,9
Bosnia and Herzegovina,Europe,2017,9.1
Bosnia and Herzegovina,Europe,2018,9.1
Bosnia and Herzegovina,Europe,2019,9.1
Bosnia and Herzegovina,Europe,2020,9.1
Botswana,Africa,2016,23.5
Botswana,Africa,2017,23.6
Botswana,Africa,2018,23.5
Botswana,Africa,2019,23.2
Botswana,Africa,2020,22.8
Brazil,South America,2016,6.1
Brazil,South America,2017,6.1
Brazil,South America,2018,6.1
Brazil,South America,2019,6.1
Brazil,South America,2020,6.1
Brunei Darussalam,Asia,2016,15
Brunei Darussalam,Asia,2017,14.3
Brunei Darussalam,Asia,2018,13.7
Brunei Darussalam,Asia,2019,13.2
Brunei Darussalam,Asia,2020,12.7
Bulgaria,Europe,2016,7
Bulgaria,Europe,2017,6.9
Bulgaria,Europe,2018,6.8
Bulgaria,Europe,2019,6.6
Bulgaria,Europe,2020,6.4
Burkina Faso,Africa,2016,28.3
Burkina Faso,Africa,2017,27.4
Burkina Faso,Africa,2018,26.7
Burkina Faso,Africa,2019,26.1
Burkina Faso,Africa,2020,25.5
Burundi,Africa,2016,56.3
Burundi,Africa,2017,56.5
Burundi,Africa,2018,56.8
Burundi,Africa,2019,57.2
Burundi,Africa,2020,57.6
Cabo Verde,Africa,2016,10.7
Cabo Verde,Africa,2017,10.5
Cabo Verde,Africa,2018,10.2
Cabo Verde,Africa,2019,9.9
Cabo Verde,Africa,2020,9.7
Cambodia,Asia,2016,30.7
Cambodia,Asia,2017,30.4
Cambodia,Asia,2018,30.2
Cambodia,Asia,2019,30
Cambodia,Asia,2020,29.9
Cameroon,Africa,2016,30.2
Cameroon,Africa,2017,29.5
Cameroon,Africa,2018,28.9
Cameroon,Africa,2019,28.1
Cameroon,Africa,2020,27.2
Central African Republic,Africa,2016,41.6
Central African Republic,Africa,2017,41.4
Central African Republic,Africa,2018,41
Central African Republic,Africa,2019,40.5
Central African Republic,Africa,2020,40.1
Chad,Africa,2016,36.9
Chad,Africa,2017,36.4
Chad,Africa,2018,36
Chad,Africa,2019,35.5
Chad,Africa,2020,35
Chile,South America,2016,1.7
Chile,South America,2017,1.7
Chile,South America,2018,1.6
Chile,South America,2019,1.6
Chile,South America,2020,1.6
China,Asia,2016,5.9
China,Asia,2017,5.5
China,Asia,2018,5.2
China,Asia,2019,4.9
China,Asia,2020,4.7
Colombia,South America,2016,12.2
Colombia,South America,2017,12
Colombia,South America,2018,11.8
Colombia,South America,2019,11.6
Colombia,South America,2020,11.5
Comoros,Africa,2016,27.4
Comoros,Africa,2017,26.2
Comoros,Africa,2018,24.9
Comoros,Africa,2019,23.7
Comoros,Africa,2020,22.6
Congo,Africa,2016,21
Congo,Africa,2017,20.3
Congo,Africa,2018,19.6
Congo,Africa,2019,18.8
Congo,Africa,2020,18
Costa Rica,North America,2016,7.7
Costa Rica,North America,2017,7.9
Costa Rica,North America,2018,8.2
Costa Rica,North America,2019,8.4
Costa Rica,North America,2020,8.6
Côte d'Ivoire,Africa,2016,23.5
Côte d'Ivoire,Africa,2017,22
Côte d'Ivoire,Africa,2018,20.6
Côte d'Ivoire,Africa,2019,19.1
Côte d'Ivoire,Africa,2020,17.8
Cuba,North America,2016,7.1
Cuba,North America,2017,7.1
Cuba,North America,2018,7.1
Cuba,North America,2019,7
Cuba,North America,2020,7
Czechia,Europe,2016,2.5
Czechia,Europe,2017,2.5
Czechia,Europe,2018,2.5
Czechia,Europe,2019,2.5
Czechia,Europe,2020,2.5
Democratic People's Republic of Korea,Asia,2016,21.7
Democratic People's Republic of Korea,Asia,2017,20.7
Democratic People's Republic of Korea,Asia,2018,19.8
Democratic People's Republic of Korea,Asia,2019,18.9
Democratic People's Republic of Korea,Asia,2020,18.2
Democratic Republic of the Congo,Africa,2016,41.7
Democratic Republic of the Congo,Africa,2017,41.6
Democratic Republic of the Congo,Africa,2018,41.5
Democratic Republic of the Congo,Africa,2019,41.2
Democratic Republic of the Congo,Africa,2020,40.8
Djibouti,Africa,2016,33.5
Djibouti,Africa,2017,33.7
Djibouti,Africa,2018,33.9
Djibouti,Africa,2019,34
Djibouti,Africa,2020,34
Dominican Republic,North America,2016,7.1
Dominican Republic,North America,2017,6.9
Dominican Republic,North America,2018,6.6
Dominican Republic,North America,2019,6.2
Dominican Republic,North America,2020,5.9
Ecuador,South America,2016,23.3
Ecuador,South America,2017,23.4
Ecuador,South America,2018,23.5
Ecuador,South America,2019,23.4
Ecuador,South America,2020,23.1
Egypt,Africa,2016,22
Egypt,Africa,2017,22.1
Egypt,Africa,2018,22.2
Egypt,Africa,2019,22.3
Egypt,Africa,2020,22.3
El Salvador,North America,2016,12.8
El Salvador,North America,2017,12.4
El Salvador,North America,2018,12
El Salvador,North America,2019,11.6
El Salvador,North America,2020,11.2
Equatorial Guinea,Africa,2016,22.8
Equatorial Guinea,Africa,2017,22
Equatorial Guinea,Africa,2018,21.2
Equatorial Guinea,Africa,2019,20.5
Equatorial Guinea,Africa,2020,19.7
Eritrea,Africa,2016,50.3
Eritrea,Africa,2017,50.2
